Date,Balaka ,Bangula ,Chikwawa,Chimbiya,Chiringa,Chitipa,Jenda,Karonga,Liwonde,Luchenza,Lunzu,Mangochi,M'baluku ,Mbayani,Mchinji,Mitundu,Mpondabwino ,Mulanje,Mwanza,Mzimba,Mzuzu,Ngabu,Nsanje,Nsungwi ,Rumphi,Salima
1-Jan-18,,,90,70,,,,90,80,,100,,,,75,73,,120,110,68,77,,107,,87,
2-Jan-18,,,90,70,,,,90,80,,100,,,,75,73,,120,107,68,77,,107,,88,
3-Jan-18,,,95,70,,,,90,80,,100,,,,75,77,,120,107,68,77,,107,,88,
4-Jan-18,,,95,70,,,,90,80,,100,,,,76,77,,120,107,68,77,,107,,88,
5-Jan-18,,,95,70,,,,90,80,,100,,,,75,77,,120,113,68,77,,107,,88,
6-Jan-18,,,95,70,,,,90,80,,100,,,,75,77,,120,113,68,77,,107,,88,
8-Jan-18,,,95,70,,,,90,80,100,100,,,,76,77,,120,107,68,77,,107,,88,92
9-Jan-18,,,100,70,,,,90,80,100,100,,,,76,70,,120,107,68,73,,107,,88,92
10-Jan-18,,,100,70,,,,90,80,100,100,,,,76,70,,105,107,68,73,,107,,88,92
11-Jan-18,,,100,70,,,,90,80,100,100,,,,76,70,,105,110,68,73,,107,,88,92
12-Jan-18,,,100,70,,,,90,85,100,100,,,,76,70,,105,110,68,73,,107,,88,92
13-Jan-18,,,100,70,,,,90,80,100,100,,,,76,70,,100,110,68,73,,107,,88,92
15-Jan-18,,,100,71,,,,90,95,100,100,,,,80,70,,100,107,68,73,,107,,88,92
16-Jan-18,,,100,71,,,,90,95,100,100,,,,78,70,,100,107,68,73,,107,,88,92
17-Jan-18,,,100,71,,,,90,93,100,88,,,,78,70,,105,107,68,73,,107,,88,92
18-Jan-18,,,100,70,,,,90,93,100,88,,,,78,70,,105,107,68,73,,107,,88,88
19-Jan-18,,,100,70,,,,90,93,100,88,,,,78,70,,105,107,68,73,,107,,88,92
20-Jan-18,,,100,70,,,,90,93,100,83,,,,78,70,,105,107,68,73,,107,,88,92
22-Jan-18,,,100,72,,,,90,93,100,100,,,,78,73,,110,110,72,80,,107,,82,92
23-Jan-18,,,100,72,,,,90,93,100,100,,,,78,73,,110,110,72,80,,107,,82,92
24-Jan-18,,,100,82,,,,90,93,100,100,,,,80,80,,107,117,93,80,,103,,82,92
25-Jan-18,,,100,83,,,,88,97,100,100,,,,79,87,,107,120,73,80,,103,,82,92
